n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock,State
44.00,64.01,2269.18,101.11,510.04,817.52,7.06,31.60,5.55,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31233.06,%sSafe
45.00,34.52,2269.18,101.11,510.04,817.52,6.81,32.24,6.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31233.09,%sSafe
46.00,40.02,2269.04,101.92,510.28,816.82,6.80,32.24,6.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31233.13,%sSafe
47.00,38.19,2269.04,101.92,510.28,816.82,6.80,32.24,6.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31233.17,%sSafe
48.00,33.97,2269.04,101.92,510.28,816.82,6.80,32.21,6.49,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.75,31233.21,%sSafe
49.00,67.75,2269.24,101.52,509.99,816.82,6.80,32.21,6.49,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.75,31233.27,%sSafe
50.00,68.28,2268.25,101.74,509.99,816.96,6.67,32.69,5.92,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.74,31233.34,%sSafe
51.00,65.03,2268.25,101.74,510.40,817.27,6.80,31.78,6.04,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.76,31233.41,%sSafe
52.00,66.01,2269.24,102.10,510.04,817.56,6.92,32.29,5.71,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.76,31233.47,%sSafe
53.00,66.95,2269.21,100.88,509.99,817.59,6.81,32.29,6.22,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.76,31233.54,%sSafe
54.00,65.14,2269.21,101.60,510.01,817.38,6.81,31.94,6.22,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31233.60,%sSafe
55.00,37.05,2269.21,101.60,510.01,817.38,6.81,32.84,6.31,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31233.64,%sSafe
56.00,40.09,2268.80,102.11,510.29,816.95,6.81,32.84,6.31,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31233.68,%sSafe
57.00,41.96,2268.80,102.11,510.29,816.95,6.57,31.47,6.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31233.72,%sSafe
58.00,38.60,2268.80,102.11,510.29,816.95,6.57,31.47,6.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.75,31233.76,%sSafe
59.00,39.95,2269.14,101.11,510.29,816.95,6.57,31.47,6.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.75,31233.80,%sSafe
60.00,40.52,2269.14,101.11,510.29,816.95,6.57,31.47,6.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.75,31233.84,%sSafe
61.00,41.13,2269.14,101.11,510.02,816.93,6.55,31.47,5.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.75,31233.88,%sSafe
62.00,69.91,2269.14,101.11,510.02,816.93,6.55,32.86,5.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.69,31233.95,%sSafe
63.00,36.02,2269.17,102.09,509.52,817.33,6.80,32.18,5.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.68,31233.99,%sSafe
64.00,78.57,2269.17,102.09,509.52,817.33,6.80,32.18,5.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.68,31234.07,%sSafe
65.00,34.01,2269.06,101.27,509.63,817.32,6.81,32.18,5.47,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.68,31234.10,%sSafe
66.00,69.71,2268.97,101.27,509.63,817.32,6.81,32.65,5.47,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.73,31234.17,%sSafe
67.00,38.01,2269.08,102.04,509.75,817.28,6.81,32.18,6.21,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31234.21,%sSafe
68.00,42.00,2269.08,102.04,509.65,817.46,6.81,32.18,6.21,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31234.25,%sSafe
69.00,36.94,2269.08,102.04,509.65,817.46,6.81,32.74,5.65,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.73,31234.29,%sSafe
70.00,57.02,2269.19,101.07,509.65,817.46,6.81,32.74,5.65,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31234.35,%sSafe
71.00,33.84,2269.19,101.07,509.94,817.01,6.62,31.56,5.77,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31234.38,%sSafe
72.00,37.40,2269.19,101.07,509.94,817.01,6.62,31.56,5.77,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.74,31234.42,%sSafe
73.00,37.74,2269.66,101.80,509.94,817.01,6.62,31.56,5.77,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.74,31234.46,%sSafe
74.00,39.03,2269.66,101.80,509.20,817.12,6.80,31.56,5.71,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.74,31234.49,%sSafe
