Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State
168,26.37,1968.57,108.04,545.16,865.52,9.09,10.94,14.55,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.28,%sSafe
169,25.13,1968.57,108.04,545.16,865.52,9.09,10.94,14.55,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.31,%sSafe
170,27.49,1968.57,108.04,545.16,865.52,8.91,10.57,14.55,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.33,%sSafe
171,22.09,1968.57,108.04,545.16,865.52,8.91,10.57,14.31,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.35,%sSafe
172,21.17,1968.57,108.04,545.16,865.52,8.91,10.57,14.31,0,0,0,0,0,0,1,0,0,2.39,0.02,8730.38,%sSafe
173,28.63,1968.8,107.96,545.16,865.52,8.91,10.57,14.31,0,0,0,0,0,0,1,0,0,2.39,0.02,8730.4,%sSafe
174,34.15,1968.8,107.96,545.02,865.38,8.43,10.57,14.31,0,0,0,0,0,0,1,0,0,2.39,0.02,8730.44,%sSafe
175,35.16,1968.8,107.96,545.02,865.38,8.43,10.74,14.31,0,0,0,0,0,0,1,0,0,2.39,0.02,8730.47,%sSafe
176,23.26,1968.8,107.96,545.02,865.38,8.43,10.74,15.22,0,0,0,0,0,0,1,0,0,2.39,0.02,8730.5,%sSafe
177,23.62,1968.8,107.96,545.02,865.38,8.43,10.74,15.22,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.52,%sSafe
178,40.18,1968.43,107.96,545.02,865.38,8.43,10.74,15.22,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.56,%sSafe
179,36.16,1968.43,108.09,545.31,865.38,8.43,10.74,15.22,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.6,%sSafe
180,31.58,1968.43,108.09,545.31,865.57,8.43,10.74,15.22,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.63,%sSafe
181,26.62,1968.43,108.09,545.31,865.57,8.58,10.94,15.22,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.66,%sSafe
182,29.65,1968.43,108.09,545.31,865.57,8.58,10.94,15.28,0,0,0,0,0,0,1,0,0,2.38,0.02,8730.68,%sSafe
