Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,,,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State,,
49,25.63,1724.47,107.56,549.59,819.52,7.35,5.04,12.02,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.63,%sSafe,,
50,59.66,1724.44,107.56,549.59,819.52,7.35,5.04,12.02,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.69,%sSafe,,
51,69.2,1724.44,107.51,549.58,819.52,7.35,5.04,12.02,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.75,%sSafe,,
52,35.54,1724.44,107.51,549.58,819.54,7.35,5.04,12.02,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.79,%sSafe,,
53,25.01,1724.44,107.51,549.58,819.54,7.34,5.07,11.96,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.81,%sSafe,,
54,26.64,1724.44,107.51,549.58,819.54,7.34,5.07,11.96,0,0,0,0,0,0,1,0,0,2.35,0.1,11929.84,%sSafe,,
55,25.22,1724.44,107.51,549.58,819.54,7.34,5.07,11.96,0,0,0,0,0,0,1,0,0,2.35,0.1,11929.87,%sSafe,,
56,26.08,1724.27,107.63,549.58,819.54,7.34,5.07,11.96,0,0,0,0,0,0,1,0,0,2.35,0.1,11929.89,%sSafe,,
57,27.03,1724.27,107.63,549.66,819.6,7.52,5.07,11.96,0,0,0,0,0,0,1,0,0,2.35,0.1,11929.92,%sSafe,,
58,26.88,1724.27,107.63,549.66,819.6,7.52,5.26,11.96,0,0,0,0,0,0,1,0,0,2.35,0.1,11929.95,%sSafe,,
